run_id,phase,split,label,model,metric,k,value,n_users,slice
20260914T084052Z,3,temporal,purchase,two_tower_content,recall,50,0.032897053511665504,9047,popularity_decile_9
20260914T084052Z,3,temporal,purchase,two_tower_content,recall,100,0.06382780490472399,9047,popularity_decile_9
20260914T084052Z,3,temporal,purchase,two_tower_content,recall,10,0.0723785488521266,17489,popularity_decile_10
20260914T084052Z,3,temporal,purchase,two_tower_content,recall,50,0.21162054117316742,17489,popularity_decile_10
20260914T084052Z,3,temporal,purchase,two_tower_content,recall,100,0.32254999660358874,17489,popularity_decile_10
20260914T084052Z,3,temporal,purchase,two_tower_content,recall,500,0.526679320228432,20000,overall
20260914T084052Z,3,temporal,purchase,two_tower_then_gbdt,recall,10,0.07638905818128904,20000,overall
20260914T084052Z,3,temporal,purchase,two_tower_then_gbdt,ndcg,10,0.06439964185676526,20000,overall
20260914T084052Z,3,temporal,purchase,two_tower_then_gbdt,recall,50,0.22905750597920838,20000,overall
20260914T084052Z,3,temporal,purchase,two_tower_then_gbdt,ndcg,50,0.111495168328826,20000,overall
20260914T084052Z,3,temporal,purchase,two_tower_then_gbdt,recall,100,0.3253233234378735,20000,overall
20260914T084052Z,3,temporal,purchase,two_tower_then_gbdt,ndcg,100,0.1358929482685514,20000,overall
20260914T084052Z,3,temporal,purchase,two_tower_then_gbdt,recall,10,0.001639344262295082,610,popularity_decile_1
20260914T084052Z,3,temporal,purchase,two_tower_then_gbdt,recall,50,0.004234972677595628,610,popularity_decile_1
20260914T084052Z,3,temporal,purchase,two_tower_then_gbdt,recall,100,0.00633879781420765,610,popularity_decile_1
20260914T084052Z,3,temporal,purchase,two_tower_then_gbdt,recall,10,0.0021831616659202867,638,popularity_decile_2
20260914T084052Z,3,temporal,purchase,two_tower_then_gbdt,recall,50,0.005457355355935478,638,popularity_decile_2
20260914T084052Z,3,temporal,purchase,two_tower_then_gbdt,recall,100,0.0089916844480739,638,popularity_decile_2
20260914T084052Z,3,temporal,purchase,two_tower_then_gbdt,recall,10,0.008168028004667444,857,popularity_decile_3
20260914T084052Z,3,temporal,purchase,two_tower_then_gbdt,recall,50,0.022240144599263278,857,popularity_decile_3
20260914T084052Z,3,temporal,purchase,two_tower_then_gbdt,recall,100,0.03781888484682088,857,popularity_decile_3
