feature,gain
item_n_30d,6191071.335551977
item_n_90d,1282231.904909134
item_n,1133909.5956089497
item_n_7d,630061.3801627159
item_days_since_release,115674.07830166817
genre_affinity,49501.83130812645
user_hours_sum,35289.9733440876
user_n,22740.1807141304
user_days_since_last,22279.696493387222
user_n_90d,19508.659833669662
item_price,17425.803836107254
user_n_30d,14387.406525611877
user_n_7d,8117.026022911072
item_log_price,4444.155812740326
item_is_free,2197.871847629547
ui_n,0.0
