feature,gain
ui_n,7440737.631959915
item_n_7d,5055931.475620985
item_n_30d,182018.59032174945
genre_affinity,54674.00150048733
item_n,16663.268054515123
user_n,15035.242901951075
user_n_30d,8364.022823870182
item_n_90d,7773.262456804514
user_hours_sum,7635.852335453033
item_days_since_release,6769.191540181637
user_n_90d,5646.560131251812
item_price,4799.788708090782
user_n_7d,4724.184374123812
item_log_price,518.6603872179985
item_is_free,258.0910289287567
user_days_since_last,0.0
